1YrT-BillYield,EarningsPerShare,DividendPerShare,CurrentS&P500,S&P500NextWeek
3.5,20.41,12.52,466.29,461.84
3.44,20.41,12.52,467.32,470.58
3.4,20.41,12.52,467.55,474.16900000000004
3.36,20.41,12.52,474.3,473.19800000000004
3.67,20.41,12.52,482.0,472.77
3.7,20.41,12.52,472.79,470.689
4.09,20.41,12.52,464.81,467.06
4.17,21.88,12.58,469.41900000000004,468.54
4.25,21.88,12.58,445.55,448.05
4.5,21.88,12.58,446.26,441.959
4.84,21.88,12.58,451.87,451.719
5.12,21.88,12.58,441.48900000000003,453.689
5.05,21.88,12.58,456.34,457.629
4.93,22.71,12.71,457.06,460.61
5.11,22.71,12.71,453.09,447.629
5.26,22.71,12.71,446.129,448.72900000000004
5.26,22.71,12.71,451.6,452.57
5.29,22.71,12.71,461.449,460.3
5.35,22.71,12.71,465.16900000000004,469.03
5.25,25.2,12.84,475.48900000000003,470.959
5.49,25.2,12.84,468.8,461.459
5.62,25.2,12.84,464.84,453.52
5.69,25.2,12.84,465.469,470.28
5.81,25.2,12.84,462.62,466.5
6.13,25.2,12.84,465.399,465.6
6.19,25.2,12.84,449.83,453.689
6.699,27.33,12.93,451.22900000000004,454.969
6.73,27.33,12.93,459.61,460.86
6.81,27.33,12.93,460.71,461.66
6.6,27.33,12.93,469.72,467.44
6.36,27.33,12.93,470.4,481.19
6.23,27.33,12.93,484.54,485.07
6.12,27.33,12.93,485.65,483.14
5.98,30.63,13.18,491.88,495.67
6.09,30.63,13.18,503.12,505.57
5.82,30.63,13.18,507.17,504.92
5.9,30.63,13.18,512.66,520.48
5.67,30.63,13.18,524.36,527.07
5.53,30.63,13.18,528.61,533.4
5.56,32.65,13.18,533.13,536.47
5.25,32.65,13.18,543.98,544.73
5.14,32.65,13.18,547.26,560.89
5.42,32.65,13.18,550.98,561.61
5.37,32.65,13.18,558.8,555.11
5.54,32.65,13.18,559.21,560.1
5.29,34.62,13.37,563.84,572.68
5.24,34.62,13.37,583.35,581.73
5.35,34.62,13.37,584.41,581.47
